Wide Core,L2 Size,Narrow Core,L2 Size
1,32768,1,32768
2,16384,2,32768
3,16384,3,16384
4,8192,4,16384
5,4096,5,8192
6,2048,6,8192
7,1024,7,8192
8,512,8,4096
,,9,4096
,,10,4096
,,11,2048
,,12,2048
,,13,2048
,,14,2048
,,15,1024
,,16,1024
